table,project,link,sponsors
1,Memoirs,https://sbuhacks.devpost.com/submissions/100274-memoirs,"Snap Kit Weekly Challenge, “Rocketing Finances” Hack, Best Social Good Hack from Fidelity Weekly Challenge, Best AI Hack, Best use of Google Cloud Platform, “The Starriest Sky” Hack, “Void of Humor” Hack, Best Education Hack, “Big Bang” Hack"
2,fireWolf Health,https://sbuhacks.devpost.com/submissions/100279-firewolf-health,"Best Health Hack, Best use of Google Cloud Platform"
3,Get Off My Lawn,https://sbuhacks.devpost.com/submissions/100281-get-off-my-lawn,"Best use of HERE.com, “Galactic Security” Hack, Best Domain Name from Domain.com"
4,SciQuizHub,https://sbuhacks.devpost.com/submissions/100284-sciquizhub,Best Education Hack
5,BMI Calc HTML,https://sbuhacks.devpost.com/submissions/100285-bmi-calc-html,"Best Health Hack, Best Education Hack"
6,Stick-To-It,https://sbuhacks.devpost.com/submissions/100286-stick-to-it,
7,Dot,https://sbuhacks.devpost.com/submissions/100287-dot,"Best AI Hack, “The Starriest Sky” Hack, “Void of Humor” Hack, “Playing with the Stars” Hack"
8,Opus Financial Manager,https://sbuhacks.devpost.com/submissions/100288-opus-financial-manager,"“Rocketing Finances” Hack, Best AI Hack, “The Starriest Sky” Hack"
9,Lyrics,https://sbuhacks.devpost.com/submissions/100289-lyrics,"Best use of Google Cloud Platform, “The Starriest Sky” Hack"
10,Galactical Toothpaste Dispenser,https://sbuhacks.devpost.com/submissions/100290-galactical-toothpaste-dispenser,
11,Wolf Rides,https://sbuhacks.devpost.com/submissions/100291-wolf-rides,"Best use of HERE.com, Best Health Hack, Best use of Google Cloud Platform, “The Starriest Sky” Hack, Best Education Hack, “Big Bang” Hack"
12,MarketMe,https://sbuhacks.devpost.com/submissions/100292-marketme,
13,BruteForce - Security Hack,https://sbuhacks.devpost.com/submissions/100293-bruteforce-security-hack,“Galactic Security” Hack
14,Ketchup on Work!,https://sbuhacks.devpost.com/submissions/100294-ketchup-on-work,"Best Domain Name from Domain.com, Best use of Google Cloud Platform, “Void of Humor” Hack, Best Education Hack, “Big Bang” Hack"
15,SB's Diet,https://sbuhacks.devpost.com/submissions/100295-sb-s-diet,
16,Flap Flap Revolution,https://sbuhacks.devpost.com/submissions/100296-flap-flap-revolution,"“The Starriest Sky” Hack, “Void of Humor” Hack, “Playing with the Stars” Hack"
17,Nonogram,https://sbuhacks.devpost.com/submissions/100297-nonogram,"“The Starriest Sky” Hack, “Playing with the Stars” Hack, “Big Bang” Hack"
18,Snap Nutrients,https://sbuhacks.devpost.com/submissions/100298-snap-nutrients,
19,AstroWorth,https://sbuhacks.devpost.com/submissions/100301-astroworth,"“Rocketing Finances” Hack, Best Social Good Hack from Fidelity Weekly Challenge, Best AI Hack, Best use of Google Cloud Platform, “The Starriest Sky” Hack, Best Education Hack, “Big Bang” Hack"
20,CodeWaves,https://sbuhacks.devpost.com/submissions/100303-codewaves,"Best Health Hack, Best Social Good Hack from Fidelity Weekly Challenge, “The Starriest Sky” Hack, “Void of Humor” Hack, “Big Bang” Hack"
21,ChatBot - AI Hack,https://sbuhacks.devpost.com/submissions/100304-chatbot-ai-hack,Best AI Hack
22,SolVR,https://sbuhacks.devpost.com/submissions/100305-solvr,"Best Domain Name from Domain.com, Best Education Hack, “Playing with the Stars” Hack"
23,tpain a love story,https://sbuhacks.devpost.com/submissions/100308-tpain-a-love-story,"“The Starriest Sky” Hack, “Void of Humor” Hack"
24,Starry Visions,https://sbuhacks.devpost.com/submissions/100309-starry-visions,"Best Education Hack, “Big Bang” Hack"
25,ZodiacMingle,https://sbuhacks.devpost.com/submissions/100310-zodiacmingle,"Best Social Good Hack from Fidelity Weekly Challenge, “The Starriest Sky” Hack, “Playing with the Stars” Hack, “Big Bang” Hack"
26,MoMAnoMoMA,https://sbuhacks.devpost.com/submissions/100311-momanomoma,
27,RolfBot,https://sbuhacks.devpost.com/submissions/100312-rolfbot,
28,Grace,https://sbuhacks.devpost.com/submissions/100313-grace,"“Rocketing Finances” Hack, Best use of Clarifai’s API Weekly Challenge, Best AI Hack, Best use of Google Cloud Platform, “The Starriest Sky” Hack, “Big Bang” Hack"
29,Mastermind,https://sbuhacks.devpost.com/submissions/100314-mastermind,"Best Education Hack, “Playing with the Stars” Hack"
30,Spotify Party Mode,https://sbuhacks.devpost.com/submissions/100315-spotify-party-mode,
31,Starship Theremin,https://sbuhacks.devpost.com/submissions/100316-starship-theremin,
32,Finance Help,https://sbuhacks.devpost.com/submissions/100317-finance-help,“Rocketing Finances” Hack
33,Obey Beelzebub,https://sbuhacks.devpost.com/submissions/100318-obey-beelzebub,
34,Selective Celestial Bodies using Clarifai API,https://sbuhacks.devpost.com/submissions/100319-selective-celestial-bodies-using-clarifai-api,"Best use of Clarifai’s API Weekly Challenge, Best AI Hack, “Void of Humor” Hack, Best Education Hack, “Big Bang” Hack"
35,Good to the Bones,https://sbuhacks.devpost.com/submissions/100320-good-to-the-bones,"Best Social Good Hack from Fidelity Weekly Challenge, “Void of Humor” Hack, Best Education Hack, “Playing with the Stars” Hack, “Big Bang” Hack"
36,Earth Protector,https://sbuhacks.devpost.com/submissions/100321-earth-protector,“Playing with the Stars” Hack
37,expertHub,https://sbuhacks.devpost.com/submissions/100322-experthub,
38,SarcasticBot,https://sbuhacks.devpost.com/submissions/100323-sarcasticbot,"Best AI Hack, Best use of Google Cloud Platform, “Void of Humor” Hack"
39,Bug Hunt,https://sbuhacks.devpost.com/submissions/100324-bug-hunt,
40,Music Keys,https://sbuhacks.devpost.com/submissions/100325-music-keys,"“The Starriest Sky” Hack, “Void of Humor” Hack, Best Education Hack, “Playing with the Stars” Hack"
41,dreidel.io,https://sbuhacks.devpost.com/submissions/100326-dreidel-io,
42,Zero Gravity,https://sbuhacks.devpost.com/submissions/100327-zero-gravity,
43,Baby's First HTML,https://sbuhacks.devpost.com/submissions/100328-baby-s-first-html,
44,Spaceman Run,https://sbuhacks.devpost.com/submissions/100329-spaceman-run,
45,Space Source,https://sbuhacks.devpost.com/submissions/100330-space-source,"“Playing with the Stars” Hack, “Big Bang” Hack"
